药材,别名,性味归经,功用,症状,药材分类,用法用量,注意事项
丁香,丁子香、支解香、瘦香娇、雄丁香、公丁香、如宇香、索瞿香、百里馨,味辛，性温；归脾、胃、肾经,温中降逆，温肾助阳。,1、胃寒呃逆、脘腹冷痛、食少吐泻：丁香辛温芳香，能温中降逆，散寒止痛，为治疗胃寒呃逆、呕吐之要药。  2、肾阳不足所致阳痿、精冷、腰膝酸冷：丁香能入肾助阳。  3、阴证肿疡及腹中冷痛：本品有温通经络、活血消肿作用。,植物,内服：煎汤，2-5g；或入丸、散。外用：适量，研末敷贴。,热病及阴虚内热者禁服。
五指毛桃,五指牛奶、土黄芪、土五加皮、五爪龙（《广西民间常用草药手册》）、母猪奶（广州《常用中草药手册》）,味甘，性平。入脾、肺、肝经,健脾补肺，行气利湿，舒筋活络。,脾虚浮肿，食少无力，肺痨咳嗽，盗汗，带下，产后无乳，风湿痹痛，水肿，肝硬化腹水，肝炎，跌打损伤。,植物,内服：煎汤，60～90g。,孕妇不宜用。
菊花,节华、日精、女节、女华、女茎、更生、周盈、傅延年、阴成、甘菊、真菊、金精、金蕊,味辛、甘、苦，性微寒；归肺、肝经,疏散风热，平抑肝阳，清肝明目，清热解毒。,1、风热感冒，温病初起：本品味辛疏散，体轻达表，气清上浮，微寒清热，功能疏散肺经风热，但发散表邪之力不强。常用治风热感冒，或温病初起，温邪犯肺，发热、头痛、咳嗽等症。  2、肝阳眩晕，肝风实证：本品性寒，入肝经，能清肝热、平肝阳，常用治肝阳上亢，头痛眩晕，肝火上攻而眩晕、头痛，以及肝经热盛、热极动风者。  3、目赤昏花：本品辛散苦泄，微寒清热，入肝经，既能疏散肝经风热，又能清泄肝热以明目，故可用治肝经风热，或肝火上攻所致目赤肿痛，肝肾精血不足，目失所养，眼目昏花，视物不清。  4、疮痈肿毒：本品味苦性微寒，能清热解毒，可用治疮痈肿毒。 ,植物,内服：煎服，5-9g。,尚不明确。
木香,蜜香、青木香、五香、五木香、南木香、广木香,味辛、苦，性温；归脾、胃、肝、肺经,行气止痛，调中导滞。,1、胸胁脘腹胀痛：木香辛散温行，行气散结，消痞，除胀，从而有止痛之效；凡肺气（月责）郁，胸膈痞闷，脾胃气滞，脘腹胀痛，肝气郁滞，胁肋疼痛诸症，用之无不奏效。  2、泻痢后重：木香行气力佳，用于泻痢后重之症，具有行气导滞作用。,植物,内服：煎汤，3-10g；或入丸、散。生用专行气滞，煨用可实肠止泻。,脏腑燥热、阴虚津亏者禁服。
佛手,佛手柑、手柑,味辛、苦、酸，性温；归肝、脾、胃、肺经,疏肝解郁，理气和中，燥湿化痰。,主要用于肝郁气滞及肝胃不和之胸胁胀痛、脘腹痞满，脾胃气滞之脘腹胀痛、呕恶食少，咳嗽日久痰多，胸膺作痛。 ,植物,内服：煎汤，3-10g；或泡茶饮。,阴虚有热、气虚无滞者慎用。
铁皮石斛,铁皮枫斗、枫斗、耳环石斛、黑节草,味甘，性微寒；归胃、肾经,益胃生津，滋阴清热。,热病津伤，口干烦渴，胃阴不足，食少干呕，病后虚热不退，阴虚火旺，骨蒸劳热，目暗不明，筋骨痿软。,植物,内服：煎汤，6-12g。,尚不明确。
白芍,白芍药、金芍药,味苦、酸，性微寒；归肝、脾经,养血敛阴，柔肝止痛，平抑肝阳。,1、肝血亏虚，月经不调：本品味酸，收敛肝阴以养血，常与熟地、当归等同用，用治肝血亏虚，面色苍白，眩晕心悸，或月经不调，崩中漏下。  2、肝脾不和，胸胁脘腹疼痛，四肢挛急疼痛：本品酸敛肝阴，养血柔肝而止痛，常配柴胡、当归、白芍等，治疗血虚肝郁，胁肋疼痛。也可治疗脾虚肝旺，腹痛泄泻，痢疾腹痛阴血虚筋脉失养而致手足挛急作痛。  3、肝阳上亢，头痛眩晕：以本品养血敛阴、平抑肝阳。  4、本品敛阴，有止汗之功。若外感风寒，营卫不和之汗出恶风，可敛阴和营，与温经通阳的桂枝等用，以调和营卫；至于阴虚盗汗，则须与龙骨、浮小麦等同用，可收敛阴止汗的功效。,植物,内服：煎汤，5-12g；或入丸、散。大剂量可用15-30g。平肝阳宜生用；养肝柔肝宜炒用。,1、白芍属寒凉之品，凡外感风寒、内伤生冷，脾胃虚寒、肾阳虚衰等证不宜单味药大量服用。妇人月经不调属虚寒者不宜单味药大量服用；气虚自汗，阳虚汗出者忌用。
肉桂,牡桂、紫桂、大桂,味辛、甘，性大热；归肾、脾、心、肝经,补火助阳，散寒止痛，活血通经。,主要用于肾阳不足、阳痿宫冷、眩晕目赤、心腹冷痛、寒痹腰痛、寒疝奔豚、寒凝血瘀、经闭痛经、阴疽流注等。 ,植物,内服：煎汤，2-5g，不宜久煎；研末，0.5-1.5g；或入丸剂。外用：研末，调敷；浸酒，涂擦。,1、本品益火壮阳，辛热耗阴动血，故阴虚火旺者忌服，有出血倾向者慎用。
黄连,王连、支连,味苦，性寒；归心、脾、胃、胆、大肠经,清热燥湿，泻火解毒。,1、湿热痞满，呕吐吞酸：本品大苦大寒，清热燥湿力大于黄芩，尤长于清中焦湿热。治湿热阻滞中焦，气机不畅所致脘腹痞满、恶心呕吐，胃热呕吐，肝火犯胃所致胁肋胀痛、呕吐吞酸脾胃虚寒，呕吐酸水。  2、湿热泻痢：本品善去脾胃大肠湿热，可治湿热泻痢，腹痛里急后重，湿热泻痢兼表证发热，湿热下痢脓血日久。  3、高热神昏，心烦不寐，血热吐衄：本品泻火解毒之中，尤善清泻心经实火，可用治心火亢盛所致神昏、烦躁之证。可治三焦热盛，高热烦躁，高热神昏，热盛伤阴，心烦不寐，心火亢旺，心肾不交之怔忡不寐，邪火内炽，迫血妄行之吐衄。  4、痈肿疖疮，目赤牙痛：本品既能清热燥湿，又能泻火解毒，尤善疗疔毒。用治痈肿疔毒，目赤肿痛，赤脉胬肉，胃火上攻，牙痛难忍。  5、消渴：本品善清胃火而可用治胃火炽盛，消谷善饥之消渴证，肾阴不足，心胃火旺之消渴。  6、外治湿疹、湿疮、耳道流脓：本品有清热燥湿、泻火解毒之功，取之制为软膏外敷，可治皮肤湿疹、湿疮。取之浸汁涂患处，可治耳道流脓；煎汁滴眼，可治眼目红肿。 ,植物,内服：煎服，2-5g。外用：适量。,本品大寒，过量久服易伤脾胃，脾胃虚寒者忌用。苦燥易伤阴津，阴虚津伤者慎用。
夜关门,铁扫帚、封草、野鸡草、菌串子、半天雷、闭门草、公母草铁马鞭、凤交尾、化食草、三叶公母草、阴阳草 、关门草、马尾草、夜闭草、火鱼草、石青蓬、穿鱼串、串鱼草、铁杆蒿、蛇药草、截叶铁扫帚、绢毛胡枝子,味苦、涩，性凉,补肾涩精，健脾利湿，祛痰止咳，清热解毒的功效。,肾虚遗精，遗尿，尿频，白浊，带下，泄泻，痢疾，水肿，小儿疳积，咳嗽气喘，跌打损伤，目赤肿痛，痈疮肿毒，毒虫咬伤。,植物,内服：煎汤，15-30g，鲜品30-60g：或炖肉。外用：煎水熏洗，或捣敷。,咳嗽兼表寒者慎服。
龙胆,地胆头、磨地胆、鹿耳草（海南）,味苦，性寒；归肝、胆经,清热燥湿，泻肝胆火。,1、湿热黄疸，阴肿阴痒，带下，湿疹瘙痒：本品苦寒，清热燥湿之中，尤善清下焦湿热，常用治下焦湿热所致诸证。  2、肝火头痛，目赤耳聋，胁痛口苦：苦本品苦寒沉降，善泻肝胆实火。  3、惊风抽搐：取本品清泻肝胆实火之功。  4、西医诊为肝细胞性黄疸、阻塞性黃疸、溶血性黄疸属于肝胆湿热内蕴者，泌尿系感染、细菌性阴道炎属于湿热下注者，周期性偏头痛、紧张性头痛、急性结膜炎、沙眼、化脓性中耳炎属于肝火上炎者。,植物,内服：煎服，3-6g。,脾胃虚寒者不宜用，阴虚津伤者慎用。
龙骨,布如格瑞,河南、河北、山西、陕西、山东、内蒙古、湖北、四川、云南、广西、青海,镇惊安神，平肝潜阳，收敛固涩。,1、用于心悸怔忡，失眠健忘，惊痫癫狂，头晕目眩，自汗盗汗，遗精遗尿，崩漏带下，久泻久痢，溃疡久不收口及湿疮。  2、西医诊为高血压病、失眠、癫痫、躁郁精神病、精神分裂症等属肝阴不足，肝阳上亢者，遗精、遗尿、功能性子宫出血等属正虚不固者。,味甘、涩，性平；归心、肝、肾经,内服：煎汤，10-15g；打碎先煎；或入丸、散。外用：适量，研末撒；或调敷。安神、平肝宜生用，收涩、敛疮宜煅用。,湿热积滞者慎服。
人参,人衔、鬼盖、黄参、玉精、血参、土精、地精、金井玉阑、孩儿参、棒锤,味甘、微苦，性微温；归肺、脾、心经,大补元气，补脾益肺，生津，安神益智。,主要用于气虚欲脱，脉微欲绝，脾气不足，中气下陷，肺虚喘咳，气短乏力，津伤口渴，虚热消渴，失眠健忘，心悸怔忡，血虚萎黄，阳痿宫冷等。,植物,内服：煎服，3-10g，大剂量10-30g，宜另煎兑入。或研末1-2g，或熬膏；或泡酒；或入丸散。,实证、热证及湿热内盛正气不虚者禁服。不宜与茶同服。
益母草,益母蒿、坤草、茺蔚,味苦、辛，性微寒、归肝、心包、膀胱经,活血调经，利尿消肿，清热解毒。,用于月经不调，痛经经闭，恶露不尽，水肿尿少，疮疡肿毒。,植物,内服：煎服，10-30g。或熬膏，入丸剂。外用：适量捣敷或煎汤外洗。,孕妇慎用。
桂枝,柳桂,味辛、甘，性温；归心、肺、膀胱经,发汗解肌，温通经脉，助阳化气。,1、风寒感冒：本品辛甘温煦，甘温通阳扶卫，其开腠发汗之力较麻黄温和，而善于宣阳气于卫分，畅营血于肌表，故有助卫实表，发汗解肌，外散风寒之功。  2、寒凝血滞诸痛证：本品辛散温通，具有温通经脉，散寒止痛之效。  3、痰饮、蓄水证：本品甘温，既可温扶脾阳以助运水，又可温肾阳、逐寒邪以助膀胱气化，而行水湿痰饮之邪，为治疗痰饮病、蓄水证的常用药。  4、心悸：本品辛甘性温，能助心阳，通血脉，止悸动。,植物,内服：煎汤，3-9g。,热病高热，阴虚火旺，血热妄行者禁服。
苍耳子,葈耳实、羊负来、只刺、道人头、苍耳实、牛虱子、胡寝子、棉螳螂、苍子、胡苍子,味辛、苦，性温；归肺经,发散风寒，通鼻窍，祛风湿，止痛。,1、风寒感冒：本品辛温宣散，既能外散风寒，又能通鼻窍、止痛，用治外感风寒，恶寒发热，头身疼痛，鼻塞流涕者。  2、鼻渊：本品温和疏达，味辛散风，苦燥湿浊，善通鼻窍以除鼻塞、止前额及鼻内胀痛，用治鼻渊头痛、不闻香臭、时流浊涕者。  3、风湿痹痛：本品辛散苦燥，性温散寒，能祛风除湿，通络止痛，用治风湿痹证，关节疼痛，四肢拘挛。 ,有毒,内服：煎汤，3-10g；或入丸、散。外用：捣敷；或煎水洗。,血虚头痛不宜服用。过量服用易致中毒。
续断,和尚头、北续断、接骨草、南草、鼓锤草、川断,被子植物门,补益肝肾，续筋健骨，通利血脉。,主治肝肾不足，腰膝酸痛，寒湿痹痛，崩漏下血，胎动不安，跌打损伤，筋骨折伤等。 ,双子叶植物纲,内服：煎汤，6-15g；或入丸、散。外用：鲜品适量，捣敷。,风湿热痹者忌服。
灵芝,三秀、灵芝草、木灵芝、菌灵芝,味甘，性平；归心、肺、肝、肾经,补气安神，止咳平喘。,1、心神不宁，失眠，惊悸：本品味甘性平，入心经，能补心血、益心气、安心神，故可用治气血不足、心神失养所致心神不宁、失眠、惊悸、多梦、健忘、体倦神疲、食少等症。  2、咳喘痰多：本品味甘能补，性平偏温，入肺经，补益肺气，温肺化痰，止咳平喘，常可治痰饮证，见形寒咳嗽、痰多气喘者，尤其对痰湿型或虚寒型疗效较好。  3、虚劳证：本品有补养气血作用，故常可用治虚劳短气、不思饮食、手足逆冷、或烦躁口干等症。 ,植物,内服：煎服，6-12g；研末吞服1.5-3g。,1、实证及外感初起者忌用。
南瓜根,味甘、淡，性平,植物,利湿热，通乳汁。,湿热淋证，黄疸，痢疾，乳汁不通。,,1、内服：煎汤，15-30g，鲜品加倍。 2、外用：磨汁涂或研末调敷。,
姜黄,宝鼎香、黄姜,味辛、苦，性寒；归肝、胆、心经,活血行气，通经止痛。,1、气滞血瘀痛证：本品辛散温通，苦泄，既入血分又入气分，能活血行气而止痛。  2、风湿痹痛：本品辛散苦燥温通，外散风寒湿邪，内行气血，通经止痛。,植物,内服：煎服，3-10g。外用：适量。,血虚无气滞血瘀及孕妇慎服。
肉苁蓉,大芸（淡大芸）、寸芸、苁蓉（甜苁蓉、淡苁蓉）、地精、查干告亚,味甘、咸，性温；归肾、大肠经,补肾助阳，润肠通便。,主要用于肾阳亏虚，精血不足，阳痿早泄，宫冷不育，腰膝酸痛，痿软无力，肠燥津枯便秘。,植物,内服：煎汤，10-15g；或入丸、散；或浸酒。,阴虚火旺及便溏泄泻者忌服，热结便秘忌服。
威灵仙,能消、铁脚威灵仙、灵仙、黑脚威灵仙、黑骨头,味辛、咸，性温；归膀胱经,祛风湿，通络止痛，消骨鲠。,主要用于风湿痹证、骨鲤咽喉、跌打伤痛、头痛、牙痛、胃脘痛，及痰饮、噎膈、妇女癥瘕积块、乳房肿块等。 ,植物,内服：煎汤，6-9g，冶骨哽咽喉可用到30g；或入丸、散；或浸酒。外用：捣敷；或煎水熏洗；或作发泡剂。,本品辛散走窜，气血虚弱者慎服。
朱砂,丹栗、朱丹、赤丹、丹砂、真朱、汞沙、光明砂、辰砂,味甘，性微寒；归心经,清心镇惊，安神解毒。,1、心神不宁，心悸，失眠：本品甘寒质重，寒能降火，重可镇怯，专入心 经，既可重镇安神，又能清心安神，为镇心、清火、安神定志之药。  2、惊风，癫痫：本品质重而镇，略有镇惊止痉之功。  3、疮疡肿毒，咽喉肿痛，口舌生疮：本品性寒，不论内服、外用，均有清热解毒作用。 ,有毒,内服：研末冲服，0.3-1g；或入丸、散；或拌它药入煎剂，如朱茯苓、朱灯心等。,1、朱砂性寒质重，有镇惊清火之力，长于治疗心火亢盛、心神不宁之症。脾胃虚寒，以及无热证者不宜用。
秦艽,秦胶、秦札、秦纠、秦爪、左秦艽、大艽、左宁根、左扭、西大艽、西秦艽、萝卜艽、瓣子艽、鸡腿艽、山大艽、曲双,味辛、苦，性平；归胃、肝、胆经,祛风湿，通络止痛，退虚热，清湿热。,1、风湿痹证：本品辛散苦泄，质偏润而不燥，为风药中之润剂。风湿痹痛，筋脉拘挛，骨节酸痛，无问寒热新久均可配伍应用。  2、中风不遂：本品既能祛风邪，舒筋络，又善“活血荣筋”，可用于中风半身不遂，口眼㖞斜，四肢拘急，舌强不语等。  3、骨蒸潮热，疳积发热：本品能退虚热，除骨蒸，亦为治虚热要药。  4、湿热黄疸：本品苦以降泄，能清肝胆湿热而退黄。  5、本品尚能治痔疮、肿毒等。 ,植物,内服：煎服，3-9g。,久痛虚羸，溲多、便滑者慎服。
