药材,古籍,别名,性味归经,功用,药材简介,药剂1,药剂2,药剂3,药剂4,药剂5,药剂6,药剂7,药剂8,药剂9,药剂10,用法用量,注意事项
甘遂,《神农本草经》,主田、重泽、甘藁、陵藁、甘泽、苦泽、白泽、鬼丑、陵泽,苦，寒；有毒。归肺、肾、大肠经。,泻水逐饮，消肿散结。,甘遂：多年生草本，高25-40。别名主田、重泽、甘藁、陵藁、甘泽、苦泽、白泽、鬼丑、陵泽、为大戟科大戟属的植物，为中国的特有植物。分布于中国大陆的甘肃、山西、陕西、宁夏、河南、青海等地，多生在低山坡、荒坡、沙地、田边和路旁等，已由人工引种栽培。可作药用。,甘遂配大黄,甘遂配半夏,大陷胸汤,十枣汤,控涎丹,舟车丸,控涎丸,消喘膏,,,甘遂的有效成分难溶于水，因此不入煎剂，多入丸剂、散剂，成人每天的常规用量为0.5～1.5克。 本品有毒，内服宜使用经过炮制的醋甘遂，以减轻毒性。 外用适量，生用，研末调和后外敷于患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,孕妇及虚弱者禁用。不宜与甘草同用。
京大戟,《神农本草经》,龙虎草、将军草、九头狮子,苦，寒；有毒。归肺、脾、肾经。,泻水逐饮，消肿散结。,京大戟，中药材名。为大戟科植物大戟的根。具有泻水逐饮，消肿散结的功效。主要用于水肿，臌胀，胸胁停饮，疮痈肿毒，瘰疬痰核等。,,,,,,,,,,,1.本品有毒，作用峻猛，故体质虚弱者慎用。 2.不宜与甘草同用。 3.孕妇禁用。,
商陆,《神农本草经》,章柳、山萝卜、见肿消、倒水莲、金七娘、猪母耳、白母鸡,苦，寒；有毒。归肺、脾、肾、大肠经。,逐水消肿，通利二便；外用解毒散结。,商陆，中药名。为商陆科商陆属植物商陆或垂序商陆的干燥根。具有逐水消肿，通利二便的功效，外用具有解毒散结之功效。主治水肿胀满，二便不通；外治痈肿疮毒。,,,,,,,,,,,1.体虚水肿慎服，孕妇忌服。 2.宜从小量开始。本品对胃肠道有刺激作用，故宜饭后服。,
芫花,《神农本草经》,南芫花、芫花条、药鱼草、莞花、头痛花、闷头花、老鼠花,苦、辛，温；有毒。归肺、脾、肾经,泻水逐饮，祛痰止咳；外用杀虫疗疮,芫花，中药名。为瑞香科瑞香属植物芫花的花蕾。具有泻水逐饮，祛痰止咳，解毒杀虫的功效。主治水肿，臌胀，痰饮胸水，喘咳，痈疖疮癣。,芫花配甘遂,芫花配枳壳,五食丸,舟车丸,,,,,,,芫花煎汁内服时，成人每天的常规用量为1.5～3克。 内服宜醋炙用，以减低毒性。醋芫花研末吞服，一次0.6～0.9克，一日1次。 外用时适量，研末调敷，或煎水外洗。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.体质虚弱，或有严重心脏病，溃疡病、消化道出血及孕妇禁服；反甘草；用量宜轻，逐渐增加，中病即止，不可久服。 2.芫花具有油状刺激物质，生用毒性强，副作用大，经醋制后，毒性明显降低。在水浸剂和煎剂中生芫花的毒性较醋芫花大1倍1，而醇浸剂中，生芫花的毒性较醋芫花大7倍。醋制芫花中羟基芫花素和芫花素的含量均高于生芫花。芫花经苯处理后，可将刺激性油状物除去，致泻作用基本消除，其他副作用也大为减少，但仍保持其祛痰、镇咳平喘作用，其药效成分为羟基芫花素。
千金子,《蜀本草》,千两金、菩萨豆、续随子、联步、滩板救,辛，温；有毒。归肝、肾、大肠经。,泻下逐水，破血消癥；外用疗癣蚀疣。,千金子是属一年生草本植物。秆直立，基部膝曲或倾斜，高可达90厘米，平滑无毛。叶鞘无毛，大多短于节间；叶舌膜质，叶片扁平或多少卷折，先端渐尖，圆锥花序，分枝及主轴均微粗糙；小穗多带紫色，第一颖较短而狭窄，外稃顶端钝，无毛或下部被微毛，颖果长圆球形，8-11月开花结果。 呈椭圆形或倒卵形，长约5，直径约4。表面灰棕色或灰褐色，具不规则网状皱纹，网孔凹陷处灰黑色，形成细斑点。一侧有纵沟状种脊，顶端为突起的合点，下端为线形种脐，基部有类白色突起的种阜或具脱落后的疤痕。种皮薄脆，种仁白色或黄白色，富油质。气微，味辛。,,,,,,,,,,,孕妇及虚弱者禁用。,
巴豆霜,《神农本草经》,辛，热；有大毒。归胃、大肠经,峻下冷积，逐水退肿，豁痰利咽；外用蚀疮。,巴豆霜，中药名。为巴豆的炮制加工品。分布于西南及福建、湖北、湖南、广东、广西等地。具有峻下冷积，逐水退肿，豁痰利咽；外用蚀疮之功效。常用于寒积便秘，乳食停滞，腹水臌胀，二便不通，喉风，喉痹；外治痈肿脓成不溃，疥癣恶疮，疣痣。,0.1～0.3g，多入丸散用。外用适量。,,,,,,,,,,,孕妇及虚弱者禁用。不宜与牵牛子同用。,
牵牛子,草金铃、金铃、黑牵牛、白牵牛、黑丑、白丑、二丑、丑牛,味苦、性寒；归肺、肾、大肠经；有毒,泻下逐水，去积杀虫。,牵牛子，中药名。为旋花科牵牛属植物牵牛或圆叶牵牛的干燥成熟种子。具有泻下逐水，去积杀虫的功效。主治水肿，膨胀，痰饮喘咳，虫积腹痛。果实完全成熟时采收。,孕妇忌用。不宜与巴豆、巴豆霜同用。,,,,,,,,,,,,1、治水肿：牵牛子末之，水服方寸七，日一，以小便利为度。（《千金方》） 2、治停饮肿满：黑牵牛头末四两，茴香一两（炒），或加木香一两，上为细末，以生姜自然汁调一二钱，临卧服。（《偶门事亲）禹功散） 3、治腰脚湿气疼痛：黑牵牛，大黄各二两，白术一两。上为细末，漓水丸如桐子大。每服三十丸，食前生姜汤下。如要快利，加至百丸。（《世传神效名方）牛黄白术丸） 4、治气筑奔冲不可忍：黑牵牛半两，槟榔一分（锉）。上为末，舒服一大钱，浓煎紫苏生姜汤调下。（《卫生家宝方》牵牛丸） 5、治惊疳，啼哭烦躁，面赤痰喘：黑丑头末一两，雄黄一两，天竺黄二两。为末，饭丸粟米大。每岁五丸，人粥内与食，（《婴童类萃》） 6、治大肠风秘，维热结涩牵牛子（黑色。微炒，捣取其中粉）一两，别以麸炒去皮、尖桃仁（末）半两。以熟蜜和丸如梧桐子，温水服三二十丸，不可久服。（《本草衍义》） 7、治一切所伤，心腹痞满刺痛，积滞不消：黑牵牛二两（炒，末），五灵脂（炒），香附（炒）各一网，上为末，酷糊丸如小豆大，每服三十丸，食后生姜汤下。（《卫生宝鉴》消滞丸） 8、治小儿心腹气胀，喘粗，不下食：牵牛子（微炒）、木香，马兜铃各一份，上件药，捣粗罗为散，每服一钱，以水一小盏，煎至五分，去渣，不计时候，量儿大小，以意加减。（《圣惠方》） 9、治小儿疳证：木香二饯半，黑牵牛半两（生用）。为细末，而糊为丸，如绿豆大，三岁儿三十丸，用米饭汤送卜，不拘时服。（《奇效良方》分气丸） 10、治一切虫积：牵牛子二两（炒，研为末），槟榔一两，使君子肉五十个（微炒）。俱为末，每服二钱，砂糖调下，小儿减半，（《永类钤方》） 11、治冷气流注，腰疼不能俯仰：延胡索二两，破故纸（炒）二两，黑牵牛子三两（炒）。上为细末，煨大蒜研，搜丸如梧榈子大，每服三十丸，煎葱须盐汤送下，食前服。（《杨氏家藏方》牵牛丸） 12、治肾气作痛：黑牵牛（炒熟）、白牵牛（炒熟），等分。上为末，每服挑三钱匕，猪腰一副，薄切开缝，人川椒五十粒，苗香一百粒，以牵牛末遍掺人肾中，线系湿纸数裹煨，香熟，出火气。灯后空心嚼吃，好酒送下，少顷就枕，天明取下恶物即愈。（《直指方》腰子散。 13、治一切痈疽发背，无名肿毒：牵牛黑、白者各一合。用布包槌碎，好酒一碗，煎至八分，碟一夜。温热服，以大便出脓血为度。（《鲁府禁方》黑白散） 14、治风热赤眼：黑丑仁为末，调葱白汤，敷患处。（《泉州本草》）
川乌,《神农本草经》,鹅儿花、铁花、五毒,辛、苦，热。归心、肝、肾、脾经。生川乌有大毒，制川乌有毒。,祛风除湿，温经止痛。,川乌，正名为乌头，别名：鹅儿花、铁花、五毒；被子植物门，毛茛科，乌头属。英文名，生于山地草坡或灌丛中。栽培于平地肥沃的砂质土壤，主要栽培于四川。分布于长江中下游，北至秦岭和山东东部，南至广西北部。,制川乌配麻黄,制川乌配当归,制川乌配制白附子,制川乌配生石膏,川乌散,乌头汤,小活络丹,风湿骨痛丸（胶囊）,,,川乌煎汁内服时，一般用炮制品，成人每天的常规用量为1.5～3克，宜先煎、久煎，煎至入口无麻辣感为度。或入丸、散。 外用时适量，研末调敷。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,生品内服宜慎，酒煎服、酒浸易致中毒。孕妇忌用。制川乌孕妇慎用。不宜与半夏、川贝母、浙贝母、平贝母、伊贝母、湖北贝母、瓜蒌、瓜蒌皮、瓜蒌子、天花粉、白及、白蔹同用。
威灵仙,《新修本草》,铁脚威灵仙、铁角威灵仙、铁脚灵仙、铁脚铁线莲、铁耙头等,辛、咸，温。归膀胱经。,祛风湿，通经络，止痛，消骨骾。,威灵仙，中药名。为毛茛科铁线莲属植物威灵仙、棉团铁线莲或东北铁线莲的干燥根和根茎。具有祛风湿，通络止痛，消骨鲠的功效。主治风湿痹证、骨鲠咽喉、跌打伤痛、头痛、牙痛、胃脘痛，及痰饮、噎膈、妇女癥瘕积块、乳房肿块等。,威灵仙配羌活,威灵仙配桑寄生,威灵仙配防己,威灵仙配苍术,威灵丸,威灵仙方,风湿片,骨刺消痛液,,,威灵仙煎汁内服时，成人每天的常规用量为6～10克。 用于消散骨鲠，可用至30克。 或入丸、散剂。外用适量。,本品辛散走窜，气血虚弱者慎服。
徐长卿,《神农本草经》,寮刁竹、逍遥竹、遥竹逍、瑶山竹、了刁竹、对节莲、竹叶细辛、铜锣草、一枝香、英雄草,辛，温。归肝、胃经。,祛风除湿，止痛，止痒。,,徐长卿配威灵仙,徐长卿配当归,徐长卿散,徐长卿汤,骨刺消痛片,复方南星止痛膏,风湿定片（胶囊）,骨刺丸,,,徐长卿煎汁内服时，成人每天的常规用量为3~12克，本品气味芳香，不能久煎，需后下。 外用适量。也可以煎水外洗，或者捣碎外敷，或者煎水口含。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,体弱者慎服。
独活,《神农本草经》,长生草、独滑,辛、苦，微温。归肾、膀胱经。,祛风除湿，通痹止痛，解表。,独活，中药名。为伞形科当归属植物重齿当归的干燥根。具有祛风湿，止痛，解表的功效。主治风寒湿痹，风寒挟湿表证，少阴头痛，皮肤瘙痒。,独活配桑寄生,独活配细辛,独活配防风,独活配苍术,独活寄生汤,荆防败毒散,三痹汤,独活细辛汤,,,独活煎汁内服时，成人每天的常规用量为3～10克。浸酒或入丸、散。 外用适量，煎汤洗。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,内服量不宜过大，阴虚血燥者慎服。
青风藤,《本草纲目》,大风藤、吹风散、青藤,苦、辛，平。归肝、脾经。,祛风湿，通经络，利小便,青风藤，中药名。为防己科防己属植物青藤和毛青藤的干燥藤茎。具有祛风湿，通经络，利小便的功效。用于风湿痹痛，关节肿胀，麻痹瘙痒。,,,,,,,,,,,使用剂量个体差异较大，不良反应的产生与过敏机制有关，临床使用时应定期作白细胞的检查。,
木瓜,《名医别录》,贴梗海棠、铁脚梨、川木瓜,酸，温。归肝、脾经。,祛风湿，舒筋活络，和胃化湿。,木瓜，中药名。为蔷薇科木瓜属植物皱皮木瓜的近成熟果实。具有舒筋活络，和胃化湿的功效。主治风湿痹痛，肢体酸重，筋脉拘挛，吐泻转筋，脚气水肿。可随熟随采。,木瓜配吴茱萸,木瓜配秦艽,木瓜配五加皮,实脾散,鸡鸣散,六和汤,颈通颗粒,金乌骨通胶囊,,,木瓜煎汁内服时，成人每天的常规用量为6～9克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,《本草经疏》：下部腰膝无力，由于精血虚、真阴不足者，不宜用；伤食脾胃未虚、积滞多者，不宜用。
路路通,《本草纲目拾遗》,枫香果、九孔子、狼目,苦，平。归肝、肾经。,祛风活络，利水，通经。,路路通，中药名。为金缕梅科枫香属植物枫香树的干燥成熟果序。具有祛风活络，利水，通经的功效。主治风湿痹痛，中风半身不遂，跌打损伤，水肿，经行不畅，经闭，乳少，乳汁不通，风疹瘙痒。,路路通配益母草,路路通配茯苓,路路通配伸筋草,和肝益肾饮,滋乳汤,抗风湿液,耳聋通窍丸,生乳片,,,路路通煎汁内服时，成人每天的常规用量为5～10克。或研末服用。 外用适量，可研末撒于患处，或燃烧出烟，嗅其气味。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,月经过多及孕妇忌服。
乌梢蛇,《药性论》,乌蛇、乌风蛇、剑脊蛇、黑风蛇、黄风蛇、剑脊乌梢蛇、南蛇、乌蛇肉,甘，平。归肝经。,祛风，通络，止痉。,乌蛇，中药名。为游蛇科乌梢属动物乌梢蛇的干燥体。具有祛风，通络，止痉的功效。主治风湿顽痹，中风半身不遂，小儿惊风，破伤风，麻风，疥癣，瘰疬，恶疮。,,,,,,,,,,,血虚生风者慎服；忌犯铁器。,
